frame,time_s,face_detected,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0,0.0,1,0.0,0.0768,0.0707,0.0347,0.0374,0.0162,0.0004,0.0,0.0,0.163,0.1,0.2531,0.2441,0.0106,0.2467,0.2479,0.0231,0.0491,0.0389,0.5576,0.3793,0.0072,0.007,0.0009,0.0,0.0177,0.0015,0.0018,0.0018,0.0108,0.0029,0.0023,0.0094,0.0001,0.0296,0.0305,0.0186,0.0531,0.0116,0.005,0.0116,0.0066,0.0175,0.0345,0.7509,0.8781,0.009,0.0266,0.5631,0.7323,0.0,0.0
5,0.17,1,0.0,0.0686,0.1025,0.0305,0.0335,0.0093,0.0003,0.0,0.0,0.1492,0.1075,0.246,0.2399,0.0131,0.2629,0.2616,0.0147,0.0515,0.0358,0.5984,0.3616,0.0078,0.0053,0.0006,0.0,0.0111,0.0005,0.0019,0.0039,0.0161,0.0013,0.001,0.0044,0.0001,0.0129,0.0189,0.0375,0.0604,0.0082,0.0054,0.0176,0.011,0.0311,0.0292,0.7816,0.8425,0.006,0.0115,0.615,0.7529,0.0,0.0
10,0.33,1,0.0,0.0625,0.1584,0.0286,0.0252,0.0046,0.0002,0.0,0.0,0.1165,0.1216,0.2585,0.2531,0.0277,0.2286,0.2279,0.0121,0.048,0.0328,0.564,0.3555,0.0098,0.0052,0.0003,0.0001,0.0063,0.0002,0.0019,0.0099,0.039,0.0001,0.0001,0.0053,0.0004,0.0057,0.0069,0.0621,0.0762,0.0182,0.0073,0.0116,0.0132,0.0331,0.028,0.8077,0.8077,0.0029,0.0028,0.642,0.7179,0.0,0.0
15,0.5,1,0.0,0.0417,0.1081,0.0238,0.0483,0.0095,0.0003,0.0,0.0,0.509,0.4834,0.5709,0.5642,0.0673,0.2188,0.0944,0.0151,0.0137,0.0078,0.6485,0.5617,0.0014,0.0004,0.0006,0.0003,0.0124,0.0001,0.0021,0.0049,0.0155,0.0013,0.001,0.008,0.0005,0.0141,0.0262,0.0365,0.0489,0.0099,0.001,0.0148,0.0108,0.0192,0.0239,0.788,0.79,0.008,0.0089,0.6249,0.722,0.0,0.0
20,0.67,1,0.0,0.0555,0.0827,0.028,0.0219,0.0063,0.0003,0.0,0.0,0.2367,0.2448,0.2889,0.2648,0.0459,0.1252,0.1128,0.0227,0.0428,0.0257,0.6052,0.3938,0.0034,0.0011,0.0006,0.0002,0.0446,0.0003,0.0058,0.0017,0.0152,0.0064,0.0038,0.0055,0.0001,0.027,0.0278,0.0217,0.0468,0.0033,0.0029,0.0323,0.0179,0.0132,0.024,0.5259,0.6096,0.0232,0.0144,0.423,0.621,0.0,0.0
25,0.83,1,0.0,0.0305,0.0526,0.0463,0.0444,0.0111,0.0003,0.0,0.0,0.1397,0.1305,0.1559,0.1523,0.0497,0.1589,0.113,0.0157,0.0702,0.0498,0.5729,0.3605,0.0067,0.0031,0.0007,0.0004,0.051,0.0003,0.0048,0.0028,0.0107,0.0017,0.0012,0.0085,0.0003,0.0329,0.0399,0.0243,0.0486,0.0063,0.001,0.0254,0.0203,0.0078,0.0193,0.5901,0.6574,0.0077,0.0101,0.309,0.4549,0.0,0.0
30,1.0,1,0.0,0.0365,0.0641,0.0467,0.0296,0.008,0.0003,0.0,0.0,0.1294,0.169,0.1582,0.1555,0.0284,0.1536,0.1563,0.0171,0.074,0.0542,0.5807,0.4012,0.0063,0.0024,0.0006,0.0003,0.0424,0.0002,0.0047,0.0013,0.0144,0.0023,0.0013,0.0099,0.0002,0.0391,0.0301,0.0111,0.0457,0.0071,0.0013,0.0177,0.0107,0.0064,0.0228,0.4622,0.6296,0.0137,0.0102,0.3399,0.5959,0.0,0.0
35,1.17,1,0.0,0.066,0.1069,0.0255,0.0213,0.006,0.0002,0.0,0.0,0.1164,0.158,0.1735,0.1735,0.0238,0.1726,0.1755,0.0162,0.0688,0.0455,0.602,0.4081,0.0079,0.0026,0.0007,0.0001,0.0158,0.0003,0.0023,0.001,0.0079,0.0043,0.0025,0.0112,0.0006,0.02,0.0225,0.01,0.0363,0.0176,0.0005,0.0112,0.0033,0.0102,0.0218,0.493,0.6395,0.0207,0.0196,0.47,0.6781,0.0,0.0
40,1.33,1,0.0,0.0153,0.0253,0.1576,0.0483,0.019,0.0002,0.0,0.0,0.1061,0.1431,0.1637,0.1642,0.0195,0.1999,0.2141,0.0158,0.0696,0.05,0.5491,0.3975,0.0087,0.0035,0.0003,0.0007,0.038,0.0002,0.0031,0.0073,0.0071,0.0,0.0,0.0133,0.0027,0.006,0.0077,0.0147,0.0251,0.0185,0.0004,0.0062,0.0388,0.0019,0.0157,0.5843,0.6902,0.0005,0.0024,0.0365,0.058,0.0,0.0
45,1.5,1,0.0,0.0001,0.0001,0.8042,0.6233,0.2299,0.0,0.0,0.0,0.0666,0.0432,0.2843,0.2535,0.0318,0.1922,0.2023,0.0104,0.0345,0.026,0.2528,0.2527,0.0112,0.0192,0.0003,0.001,0.0599,0.0006,0.0092,0.0096,0.0491,0.0,0.0,0.0105,0.0007,0.0066,0.0048,0.0393,0.0684,0.0126,0.0061,0.0086,0.0525,0.0012,0.0086,0.0017,0.0024,0.0004,0.0003,0.001,0.0012,0.0,0.0
50,1.67,1,0.0,0.0002,0.0,0.7597,0.4684,0.3512,0.0,0.0,0.0,0.1628,0.1764,0.5002,0.4927,0.0154,0.368,0.3969,0.0039,0.0151,0.008,0.3506,0.2651,0.004,0.0041,0.0001,0.0013,0.0163,0.0002,0.0022,0.0003,0.0367,0.0004,0.0002,0.0071,0.0004,0.0042,0.0009,0.0034,0.0258,0.0827,0.0063,0.0054,0.0045,0.0057,0.0256,0.0003,0.0005,0.0025,0.0003,0.0008,0.0022,0.0,0.0
55,1.83,1,0.0,0.0003,0.0001,0.6414,0.3918,0.3543,0.0002,0.0,0.0,0.1444,0.0897,0.3884,0.3417,0.0294,0.2691,0.2482,0.0071,0.0269,0.0152,0.4216,0.3037,0.0055,0.0083,0.0006,0.0016,0.1127,0.0004,0.0081,0.0035,0.0129,0.0005,0.0004,0.019,0.002,0.0314,0.0185,0.0173,0.0436,0.0128,0.0003,0.0087,0.0098,0.0025,0.0379,0.4437,0.5249,0.0208,0.0116,0.0665,0.1339,0.0,0.0
60,2.0,1,0.0,0.0003,0.0002,0.6221,0.4566,0.3007,0.0002,0.0,0.0,0.044,0.0799,0.3097,0.2731,0.0154,0.3163,0.3521,0.0053,0.0343,0.0193,0.299,0.2555,0.0159,0.0106,0.0006,0.0004,0.0395,0.0003,0.0041,0.0013,0.0269,0.0017,0.0009,0.006,0.0016,0.0402,0.0173,0.0201,0.1348,0.0041,0.0003,0.0138,0.0083,0.0096,0.0395,0.2369,0.3963,0.041,0.0077,0.2206,0.48,0.0,0.0
65,2.17,1,0.0,0.0005,0.0007,0.4219,0.5295,0.2506,0.0002,0.0,0.0,0.0631,0.0556,0.2593,0.2284,0.0234,0.258,0.2568,0.0075,0.0362,0.0258,0.3239,0.2331,0.0114,0.0104,0.0005,0.0002,0.0259,0.0004,0.0029,0.002,0.0071,0.0016,0.0011,0.0082,0.0015,0.0194,0.0165,0.0232,0.0567,0.0137,0.0004,0.0122,0.0064,0.0122,0.0353,0.5396,0.5884,0.0211,0.012,0.2893,0.3884,0.0,0.0
70,2.34,1,0.0,0.0004,0.0007,0.4584,0.5921,0.2237,0.0002,0.0,0.0,0.0535,0.0537,0.3077,0.2556,0.0262,0.2144,0.2147,0.0101,0.0279,0.0223,0.2863,0.2608,0.0133,0.0121,0.0006,0.0002,0.032,0.0005,0.0033,0.0052,0.0141,0.0001,0.0001,0.0164,0.0014,0.0249,0.026,0.0203,0.0338,0.0302,0.001,0.0057,0.0164,0.0034,0.0197,0.4931,0.5258,0.0029,0.0025,0.3054,0.3684,0.0,0.0
75,2.5,1,0.0,0.0002,0.0002,0.5413,0.6607,0.3728,0.0002,0.0,0.0,0.0588,0.0354,0.2681,0.2297,0.0291,0.1854,0.1694,0.015,0.0312,0.028,0.2722,0.1515,0.0096,0.02,0.0006,0.0002,0.1089,0.0007,0.0138,0.0055,0.0133,0.0001,0.0,0.0282,0.0028,0.0181,0.0168,0.0219,0.0284,0.0265,0.0005,0.0022,0.0063,0.0015,0.0166,0.3823,0.3659,0.0175,0.0049,0.1923,0.2542,0.0,0.0
80,2.67,1,0.0,0.0006,0.0011,0.3463,0.5556,0.2269,0.0003,0.0,0.0,0.0375,0.0268,0.2957,0.2658,0.0302,0.2802,0.2265,0.007,0.0311,0.0236,0.2444,0.2127,0.0222,0.0292,0.0008,0.0005,0.2136,0.0016,0.0077,0.0033,0.0104,0.0001,0.0001,0.0432,0.0013,0.0876,0.0896,0.0147,0.0342,0.0255,0.0008,0.0028,0.0177,0.001,0.0135,0.6552,0.7504,0.0077,0.0066,0.2145,0.2586,0.0,0.0
85,2.84,1,0.0001,0.0894,0.0636,0.1638,0.1462,0.1178,0.0013,0.0,0.0,0.1342,0.251,0.9591,0.8156,0.9999,0.0006,0.0,0.997,0.0003,0.0039,0.3221,0.1892,0.0054,0.0188,0.0023,0.0003,0.0384,0.0079,0.0027,0.3505,0.1638,0.0001,0.0001,0.1487,0.009,0.0843,0.036,0.1501,0.1961,0.1295,0.0074,0.011,0.0193,0.0065,0.0611,0.7434,0.7099,0.0371,0.0589,0.5064,0.3353,0.0,0.0
90,3.0,1,0.0,0.0005,0.0098,0.2806,0.4132,0.0802,0.0005,0.0,0.0,0.1117,0.2362,0.3158,0.3034,0.0768,0.0648,0.0702,0.0947,0.0343,0.0291,0.4587,0.4036,0.0089,0.0035,0.0011,0.0004,0.148,0.001,0.0098,0.0005,0.0029,0.0444,0.0328,0.0047,0.0,0.0249,0.0229,0.0082,0.0101,0.0128,0.0296,0.0134,0.0069,0.0064,0.0192,0.4742,0.5569,0.2198,0.3432,0.2184,0.195,0.0,0.0
95,3.17,1,0.0,0.0004,0.0012,0.3908,0.5482,0.186,0.0001,0.0,0.0,0.088,0.1809,0.1219,0.1179,0.0116,0.2923,0.2902,0.0108,0.0735,0.0681,0.3425,0.3391,0.0067,0.0032,0.0002,0.0002,0.005,0.0002,0.0011,0.0007,0.0239,0.0002,0.0001,0.0023,0.0001,0.0021,0.0005,0.0095,0.0671,0.0125,0.026,0.0017,0.0014,0.0037,0.0294,0.2562,0.4455,0.0149,0.0095,0.0039,0.0039,0.0,0.0
100,3.34,1,0.0,0.0004,0.0007,0.4116,0.5159,0.2555,0.0003,0.0,0.0,0.0857,0.067,0.1983,0.1781,0.0283,0.1651,0.1597,0.0155,0.042,0.04,0.3612,0.1918,0.0101,0.0094,0.0006,0.0003,0.1512,0.0016,0.0066,0.0042,0.0077,0.0001,0.0001,0.0318,0.0009,0.0353,0.0323,0.0123,0.0268,0.0307,0.0009,0.0038,0.0103,0.0008,0.0196,0.473,0.6013,0.0037,0.0099,0.075,0.0864,0.0,0.0
105,3.5,1,0.0,0.0004,0.0007,0.3573,0.527,0.2732,0.0001,0.0,0.0,0.0948,0.1031,0.2866,0.2596,0.0076,0.3488,0.3866,0.0056,0.0312,0.0214,0.4087,0.2014,0.0091,0.0046,0.0005,0.0008,0.1354,0.0007,0.0122,0.0494,0.054,0.0,0.0,0.022,0.0013,0.0122,0.0116,0.0594,0.0889,0.0084,0.0021,0.0042,0.0169,0.0005,0.0144,0.0097,0.0177,0.0003,0.0014,0.0049,0.0061,0.0,0.0
110,3.67,1,0.0,0.0001,0.0009,0.3109,0.7835,0.1981,0.0001,0.0,0.0,0.0764,0.0985,0.3804,0.3212,0.0158,0.1923,0.191,0.0197,0.0242,0.0154,0.2849,0.1695,0.0119,0.0052,0.0004,0.0004,0.0204,0.0002,0.0031,0.0146,0.0929,0.0,0.0,0.0089,0.0006,0.0041,0.0021,0.0243,0.1377,0.0051,0.0059,0.0022,0.0087,0.0022,0.0354,0.0381,0.1094,0.0006,0.0021,0.0229,0.0471,0.0,0.0
115,3.84,1,0.0,0.0002,0.0004,0.4423,0.7595,0.3441,0.0,0.0,0.0,0.0581,0.0736,0.3714,0.3155,0.0343,0.1169,0.12,0.0316,0.0277,0.0157,0.3123,0.1316,0.0155,0.0072,0.0,0.0003,0.0059,0.0001,0.0034,0.0162,0.1108,0.0001,0.0001,0.0002,0.0004,0.0001,0.0,0.1092,0.3162,0.0011,0.0138,0.0136,0.0147,0.0946,0.0145,0.0098,0.024,0.0011,0.0036,0.0003,0.0005,0.0,0.0
120,4.0,1,0.0,0.0001,0.0002,0.5644,0.7242,0.3568,0.0,0.0,0.0,0.0752,0.0731,0.257,0.2197,0.0322,0.1301,0.1395,0.0209,0.0416,0.0272,0.4086,0.1726,0.0121,0.0064,0.0002,0.0003,0.0385,0.0004,0.007,0.0065,0.0172,0.0,0.0,0.0065,0.0003,0.0034,0.0029,0.0203,0.0505,0.0098,0.0101,0.0021,0.0085,0.0009,0.009,0.0042,0.0095,0.0005,0.0028,0.0022,0.0031,0.0,0.0
125,4.17,1,0.0,0.0004,0.0008,0.4801,0.4369,0.4402,0.0,0.0,0.0,0.524,0.6515,0.6495,0.6062,0.0449,0.2348,0.1987,0.0185,0.013,0.0062,0.7301,0.3359,0.0008,0.0003,0.0003,0.0002,0.0091,0.0023,0.0004,0.0016,0.0082,0.0007,0.0005,0.0046,0.0016,0.0077,0.0065,0.0221,0.0365,0.0174,0.0005,0.0051,0.0021,0.0022,0.0231,0.0054,0.0075,0.0046,0.0107,0.0008,0.0008,0.0,0.0
130,4.34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,4.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,4.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,4.84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,5.17,1,0.0,0.0,0.0,0.9179,0.9082,0.8466,0.0001,0.0,0.0,0.1044,0.1906,0.3416,0.373,0.0012,0.814,0.8205,0.0013,0.032,0.016,0.3084,0.1364,0.0123,0.0047,0.0008,0.0,0.0028,0.0044,0.0001,0.0056,0.0081,0.0007,0.0006,0.0021,0.0004,0.0075,0.0129,0.1373,0.0647,0.0142,0.0037,0.0048,0.0031,0.0026,0.0146,0.0068,0.0061,0.0055,0.0184,0.0005,0.0004,0.0,0.0
160,5.34,1,0.0,0.0,0.0002,0.6228,0.8239,0.6121,0.0,0.0,0.0,0.0991,0.2502,0.5252,0.4869,0.0023,0.686,0.6943,0.0022,0.0183,0.0056,0.3355,0.0846,0.0107,0.0026,0.0002,0.0004,0.015,0.0018,0.0013,0.0037,0.0323,0.0,0.0,0.003,0.0003,0.0024,0.0022,0.0556,0.0555,0.0243,0.0183,0.0103,0.0176,0.0032,0.0091,0.001,0.0014,0.0004,0.0006,0.0002,0.0002,0.0,0.0
165,5.5,1,0.0,0.0001,0.0003,0.5706,0.6954,0.5559,0.0002,0.0,0.0,0.0906,0.0836,0.5744,0.5183,0.0032,0.6622,0.6544,0.0019,0.0114,0.0055,0.1944,0.0949,0.0127,0.0103,0.0008,0.0002,0.0182,0.0012,0.0008,0.0169,0.0026,0.0006,0.0006,0.0111,0.0043,0.0158,0.0252,0.075,0.0375,0.014,0.0002,0.0091,0.0058,0.0054,0.0442,0.5838,0.4897,0.0147,0.0478,0.2335,0.1753,0.0,0.0
170,5.67,1,0.0,0.0004,0.0004,0.5601,0.5492,0.4543,0.0,0.0,0.0,0.2128,0.1868,0.7203,0.6867,0.0065,0.4647,0.4524,0.0067,0.0064,0.0025,0.2139,0.0491,0.0054,0.005,0.0,0.0003,0.0012,0.0001,0.0006,0.0195,0.0008,0.003,0.0076,0.0009,0.0181,0.0,0.0,0.034,0.0127,0.0375,0.0003,0.0046,0.0004,0.863,0.6208,0.0164,0.0155,0.0021,0.0751,0.0984,0.0324,0.0,0.0
175,5.84,1,0.0003,0.147,0.0816,0.3928,0.1678,0.4674,0.0004,0.0001,0.0001,0.0254,0.0195,0.943,0.9544,0.9999,0.0,0.0,0.9998,0.0012,0.0013,0.0116,0.0192,0.0406,0.2553,0.0003,0.0001,0.0011,0.0072,0.0003,0.5409,0.1812,0.0093,0.009,0.3767,0.0015,0.0257,0.005,0.7355,0.5645,0.4274,0.3072,0.0824,0.0103,0.266,0.2353,0.0866,0.1037,0.0217,0.1234,0.2754,0.2573,0.0,0.0
180,6.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,6.17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,6.34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,6.51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,6.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,6.84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,7.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,7.17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,7.34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,7.51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,7.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,7.84,1,0.0,0.0031,0.0005,0.4566,0.1967,0.1845,0.0,0.0,0.0,0.1617,0.0606,0.5299,0.5183,0.0331,0.1265,0.1248,0.0367,0.0131,0.0096,0.3162,0.2073,0.0058,0.0077,0.0003,0.0009,0.0207,0.0001,0.0042,0.0067,0.0064,0.0002,0.0003,0.0014,0.0007,0.0051,0.0042,0.0195,0.0418,0.0062,0.0006,0.0062,0.004,0.0011,0.0027,0.004,0.0065,0.0011,0.0068,0.0007,0.0008,0.0,0.0
240,8.01,1,0.0,0.0005,0.0005,0.5245,0.3731,0.1412,0.0001,0.0,0.0,0.1496,0.1844,0.4169,0.3707,0.0115,0.3842,0.4103,0.0036,0.0244,0.015,0.3733,0.2591,0.0065,0.0034,0.0008,0.0004,0.0177,0.0002,0.0005,0.0259,0.0258,0.0003,0.0003,0.0038,0.0003,0.0305,0.0364,0.0865,0.0928,0.0015,0.0015,0.0035,0.0061,0.0012,0.0171,0.065,0.0647,0.0051,0.0048,0.0279,0.0328,0.0,0.0
245,8.17,1,0.0,0.0005,0.0004,0.4607,0.5294,0.1509,0.0001,0.0,0.0,0.1801,0.1315,0.4575,0.4293,0.0126,0.3485,0.361,0.0048,0.0159,0.0126,0.2832,0.2318,0.005,0.005,0.0009,0.0003,0.0179,0.0003,0.0008,0.0116,0.0116,0.0008,0.0008,0.0051,0.0004,0.023,0.0216,0.0568,0.0924,0.0027,0.001,0.005,0.005,0.0027,0.0243,0.2985,0.3259,0.0138,0.0299,0.0654,0.0794,0.0,0.0
250,8.34,1,0.0,0.0003,0.0002,0.6025,0.5962,0.2314,0.0005,0.0,0.0,0.0827,0.06,0.246,0.2349,0.0316,0.185,0.1644,0.0185,0.0539,0.0401,0.3521,0.2378,0.0144,0.0145,0.0022,0.0001,0.0808,0.003,0.0022,0.0051,0.0033,0.002,0.0018,0.0076,0.0006,0.1974,0.2529,0.0148,0.0222,0.0048,0.0002,0.0083,0.0213,0.0014,0.0062,0.5055,0.5548,0.0304,0.038,0.2904,0.4625,0.0,0.0
255,8.51,1,0.0,0.0002,0.0009,0.4279,0.5966,0.0907,0.0005,0.0,0.0,0.1091,0.1437,0.2792,0.2612,0.0562,0.1071,0.083,0.0388,0.0416,0.0327,0.3683,0.3253,0.0084,0.0052,0.0019,0.0004,0.1443,0.0012,0.0042,0.0028,0.0079,0.0021,0.0015,0.0115,0.0002,0.1304,0.1372,0.0149,0.0337,0.0041,0.0008,0.0061,0.0145,0.0012,0.0115,0.4163,0.4942,0.0636,0.0403,0.261,0.4099,0.0,0.0
